Date,W0000_0600,W0601_1200,W1201_1800,W1801_2359,WS1,WS2,WS3,WS4,A0000_0600,A0601_1200,A1201_1800,A1801_2359,A_Total,Accident
2017-10-04,Rain,Rain,Rain,Rain,Light,Light,Heavy,Light,2,2,3,2,14,TRUE
2017-10-05,Rain,Precipitation,Rain,Rain,Heavy,UNK,Heavy,Light,2,2,4,2,17,TRUE
2017-10-06,Rain,Rain,Clear,Rain,Light,Light,NA,Light,0,3,2,2,17,TRUE
2017-10-07,Rain,Cold,Cold,Cold,Moderate,Severe,Severe,Severe,0,3,3,0,2,TRUE
2017-10-08,Cold,Clear,Cold,Cold,Severe,NA,Severe,Severe,3,2,0,0,3,TRUE
2017-10-09,Clear,Clear,Clear,Cold,NA,NA,NA,Severe,3,3,3,4,8,TRUE
2017-10-10,Rain,Rain,Clear,Rain,Light,Light,NA,Light,0,0,2,2,2,TRUE
2017-10-11,Fog,Rain,Clear,Rain,Severe,Light,NA,Light,0,2,2,4,10,TRUE
2017-10-12,Clear,Rain,Rain,Rain,NA,Light,Moderate,Moderate,2,0,2,3,15,TRUE
2017-10-13,Rain,Rain,Rain,Rain,Light,Light,Light,Light,3,2,2,4,15,TRUE
2017-10-14,Clear,Rain,Rain,Rain,NA,Light,Moderate,Moderate,3,3,0,4,9,TRUE
2017-10-15,Rain,Clear,Clear,Clear,Light,NA,NA,NA,3,0,0,0,1,TRUE
2017-10-16,Clear,Clear,Rain,Rain,NA,NA,Light,Light,2,2,3,2,9,TRUE
2017-10-17,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,2,17,TRUE
2017-10-18,Rain,Rain,Clear,Rain,Light,Light,NA,Light,2,2,2,2,11,TRUE
2017-10-19,Clear,Clear,Rain,Rain,NA,NA,Light,Light,0,3,2,2,8,TRUE
2017-10-20,Rain,Rain,Clear,Clear,Light,Light,NA,NA,0,0,2,2,5,TRUE
2017-10-21,Rain,Rain,Rain,Rain,Moderate,Light,Light,Light,0,3,0,3,2,TRUE
2017-10-22,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2017-10-23,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,2,5,TRUE
2017-10-24,Rain,Clear,Rain,Rain,Light,NA,Light,Light,0,2,4,4,12,TRUE
2017-10-25,Rain,Rain,Rain,Clear,Light,Light,Light,NA,2,4,2,2,12,TRUE
2017-10-26,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,4,12,TRUE
2017-10-27,Clear,Clear,Clear,Clear,NA,NA,NA,NA,4,2,4,4,18,TRUE
