Date,W0000_0600,W0601_1200,W1201_1800,W1801_2359,WS1,WS2,WS3,WS4,A0000_0600,A0601_1200,A1201_1800,A1801_2359,A_Total,Accident
2020-10-10,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,0,2,17,TRUE
2020-10-11,Clear,Rain,Rain,Rain,NA,Light,Light,Light,2,2,0,0,9,TRUE
2020-10-12,Precipitation,Rain,Rain,Clear,UNK,Light,Light,NA,2,2,2,2,22,TRUE
2020-10-13,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,2,2,8,TRUE
2020-10-14,Clear,Rain,Rain,Clear,NA,Light,Light,NA,2,2,2,2,12,TRUE
2020-10-15,Rain,Clear,Clear,Rain,Light,NA,NA,Light,2,2,2,0,11,TRUE
2020-10-16,Clear,Clear,Snow,Rain,NA,NA,Light,Light,2,2,2,2,27,TRUE
2020-10-17,Clear,Rain,Rain,Clear,NA,Light,Light,NA,2,0,2,2,14,TRUE
2020-10-18,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,2,2,13,TRUE
2020-10-19,Snow,Clear,Snow,Snow,Light,NA,Light,Light,2,2,2,2,8,TRUE
2020-10-20,Snow,Fog,Snow,Snow,Heavy,Severe,Light,Heavy,2,2,2,2,35,TRUE
2020-10-21,Rain,Rain,Clear,Clear,Light,Light,NA,NA,2,2,2,2,68,TRUE
2020-10-22,Rain,Clear,Rain,Fog,Light,NA,Light,Severe,2,0,0,2,5,TRUE
2020-10-23,Clear,Snow,Snow,Snow,NA,Light,Light,Light,2,2,2,2,14,TRUE
2020-10-24,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,0,0,5,TRUE
2020-10-25,Snow,Clear,Snow,Snow,Light,NA,Light,Light,2,2,0,2,48,TRUE
2020-10-26,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,2,2,16,TRUE
2020-10-27,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,0,2,10,TRUE
2020-10-28,Clear,Clear,Fog,Clear,NA,NA,Severe,NA,2,2,2,2,18,TRUE
2020-10-29,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,2,2,17,TRUE
2020-10-30,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,0,2,20,TRUE
2020-10-31,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,2,2,32,TRUE
2020-11-01,Clear,Snow,Clear,Clear,NA,Light,NA,NA,2,2,2,2,12,TRUE
2020-11-02,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,0,2,9,TRUE
2020-11-03,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,2,2,9,TRUE
2020-11-04,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,0,10,TRUE
2020-11-05,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,0,2,11,TRUE
2020-11-06,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,0,2,13,TRUE
2020-11-07,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,2,2,15,TRUE
2020-11-08,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,16,TRUE
2020-11-09,Rain,Rain,Rain,Rain,Light,Light,Light,Light,2,2,2,2,15,TRUE
2020-11-10,Snow,Snow,Rain,Snow,Heavy,Light,Light,Heavy,2,2,2,0,18,TRUE
2020-11-11,Snow,Clear,Clear,Clear,Light,NA,NA,NA,2,2,2,2,72,TRUE
2020-11-12,Clear,Clear,Snow,Snow,NA,NA,Moderate,Light,2,2,2,2,18,TRUE
2020-11-13,Clear,Fog,Fog,Clear,NA,Severe,Severe,NA,2,2,2,2,15,TRUE
2020-11-14,Rain,Rain,Clear,Rain,Light,Light,NA,Light,2,0,0,2,9,TRUE
2020-11-15,Rain,Rain,Snow,Snow,Light,Light,Light,Light,2,2,2,2,7,TRUE
2020-11-16,Clear,Clear,Snow,Clear,NA,NA,Light,NA,2,0,0,2,8,TRUE
2020-11-17,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,17,TRUE
2020-11-18,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,16,TRUE
2020-11-19,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,0,2,15,TRUE
2020-11-20,Rain,Rain,Clear,Clear,Light,Light,NA,NA,2,2,0,2,6,TRUE
2020-11-21,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,0,2,20,TRUE
2020-11-22,Clear,Snow,Snow,Clear,NA,Light,Light,NA,2,0,2,2,8,TRUE
2020-11-23,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,0,0,2,TRUE
2020-11-24,Rain,Snow,Rain,Fog,Light,Light,Light,Severe,2,2,0,2,13,TRUE
2020-11-25,Fog,Clear,Clear,Clear,Severe,NA,NA,NA,2,2,2,2,14,TRUE
2020-11-26,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,0,2,10,TRUE
2020-11-27,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,30,TRUE
2020-11-28,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,16,TRUE
2020-11-29,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,0,0,9,TRUE
2020-11-30,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,10,TRUE
2020-12-01,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,18,TRUE
2020-12-02,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,0,2,11,TRUE
2020-12-03,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,0,0,14,TRUE
2020-12-04,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,0,0,11,TRUE
2020-12-05,Snow,Clear,Clear,Snow,Light,NA,NA,Light,0,0,0,0,0,FALSE
2020-12-06,Snow,Clear,Fog,Fog,Light,NA,Moderate,Moderate,0,2,2,0,3,TRUE
2020-12-07,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,0,2,6,TRUE
2020-12-08,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,0,2,25,TRUE
2020-12-09,Clear,Fog,Fog,Clear,NA,Severe,Severe,NA,2,2,2,2,29,TRUE
2020-12-10,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,0,2,31,TRUE
2020-12-11,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,0,2,22,TRUE
2020-12-12,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,2,0,16,TRUE
2020-12-13,Clear,Clear,Clear,Snow,NA,NA,NA,Light,2,2,2,2,20,TRUE
2020-12-14,Snow,Snow,Clear,Clear,Light,Light,NA,NA,2,2,0,2,59,TRUE
2020-12-15,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,21,TRUE
2020-12-16,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,0,2,11,TRUE
2020-12-17,Fog,Clear,Fog,Fog,Moderate,NA,Moderate,Moderate,2,2,0,2,13,TRUE
2020-12-18,Fog,Fog,Fog,Clear,Moderate,Moderate,Moderate,NA,2,2,0,0,18,TRUE
2020-12-19,Fog,Clear,Clear,Clear,Severe,NA,NA,NA,2,2,2,2,32,TRUE
2020-12-20,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,18,TRUE
2020-12-21,Rain,Clear,Rain,Clear,Light,NA,Light,NA,2,2,2,2,15,TRUE
2020-12-22,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,21,TRUE
2020-12-23,Snow,Snow,Rain,Snow,Moderate,Light,Light,Moderate,2,0,2,2,65,TRUE
2020-12-24,Snow,Snow,Fog,Clear,Light,Light,Moderate,NA,2,2,2,2,164,TRUE
2020-12-25,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,113,TRUE
2020-12-26,Clear,Fog,Fog,Fog,NA,Severe,Severe,Severe,2,2,2,2,42,TRUE
2020-12-27,Snow,Clear,Snow,Snow,Light,NA,Light,Light,2,2,2,2,52,TRUE
2020-12-28,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,41,TRUE
2020-12-29,Snow,Fog,Fog,Snow,Moderate,Severe,Severe,Moderate,2,2,2,2,53,TRUE
2020-12-30,Snow,Snow,Snow,Clear,Light,Light,Light,NA,2,2,2,2,118,TRUE
2020-12-31,Fog,Fog,Clear,Clear,Severe,Severe,NA,NA,2,2,2,2,38,TRUE
2021-01-01,Fog,Fog,Fog,Clear,Moderate,Severe,Moderate,NA,2,2,2,2,34,TRUE
2021-01-02,Fog,Fog,Fog,Fog,Moderate,Severe,Severe,Moderate,2,2,0,2,7,TRUE
2021-01-03,Fog,Clear,Fog,Rain,Moderate,NA,Moderate,Light,2,2,0,2,19,TRUE
2021-01-04,Fog,Fog,Snow,Clear,Moderate,Severe,Light,NA,2,2,0,2,9,TRUE
2021-01-05,Clear,Fog,Fog,Rain,NA,Severe,Moderate,Light,2,2,2,2,31,TRUE
2021-01-06,Fog,Fog,Fog,Fog,Severe,Severe,Moderate,Moderate,2,0,0,2,7,TRUE
2021-01-07,Storm,Fog,Fog,Fog,Severe,Severe,Severe,Severe,2,0,0,2,10,TRUE
2021-01-08,Fog,Fog,Fog,Fog,Severe,Severe,Severe,Moderate,2,2,0,2,9,TRUE
2021-01-09,Fog,Snow,Snow,Fog,Severe,Light,Light,Moderate,2,2,2,2,35,TRUE
2021-01-10,Fog,Clear,Clear,Clear,Severe,NA,NA,NA,2,2,2,2,17,TRUE
2021-01-11,Fog,Clear,Clear,Clear,Severe,NA,NA,NA,2,2,2,2,15,TRUE
2021-01-12,Clear,Snow,Fog,Rain,NA,Light,Severe,Light,2,2,0,2,9,TRUE
2021-01-13,Fog,Rain,Fog,Clear,Severe,Light,Severe,NA,2,2,2,0,10,TRUE
2021-01-14,Fog,Clear,Snow,Snow,Severe,NA,Moderate,Light,2,0,2,2,22,TRUE
2021-01-15,Rain,Snow,Rain,Rain,Light,Light,Light,Light,2,2,2,2,28,TRUE
2021-01-16,Snow,Snow,Clear,Snow,Light,Light,NA,Light,2,2,0,2,7,TRUE
2021-01-17,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,11,TRUE
2021-01-18,Snow,Rain,Clear,Snow,Light,Light,NA,Light,2,0,0,2,7,TRUE
2021-01-19,Snow,Clear,Snow,Snow,Light,NA,Light,Light,2,0,0,2,53,TRUE
2021-01-20,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,39,TRUE
2021-01-21,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,2,2,14,TRUE
2021-01-22,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,0,2,13,TRUE
2021-01-23,Snow,Snow,Clear,Snow,Light,Light,NA,Light,2,2,0,2,26,TRUE
2021-01-24,Snow,Snow,Clear,Clear,Moderate,Light,NA,NA,2,2,2,2,125,TRUE
2021-01-25,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,24,TRUE
2021-01-26,Clear,Clear,Snow,Clear,NA,NA,Light,NA,2,2,0,2,22,TRUE
2021-01-27,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,0,0,6,TRUE
2021-01-28,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,0,2,14,TRUE
2021-01-29,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,0,2,19,TRUE
2021-01-30,Clear,Clear,Fog,Clear,NA,NA,Moderate,NA,2,2,2,2,13,TRUE
2021-01-31,Snow,Snow,Snow,Snow,Light,Light,Light,Light,2,2,2,2,16,TRUE
2021-02-01,Clear,Clear,Snow,Clear,NA,NA,Light,NA,2,2,2,2,8,TRUE
2021-02-02,Fog,Fog,Snow,Clear,Moderate,Moderate,Light,NA,2,2,0,2,7,TRUE
2021-02-03,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,15,TRUE
2021-02-04,Rain,Snow,Snow,Clear,Light,Light,Light,NA,2,2,2,2,69,TRUE
2021-02-05,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,18,TRUE
2021-02-06,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,0,2,12,TRUE
2021-02-07,Cold,Clear,Cold,Clear,Severe,NA,Severe,NA,2,2,2,0,9,TRUE
