Date,W0000_0600,W0601_1200,W1201_1800,W1801_2359,WS1,WS2,WS3,WS4,A0000_0600,A0601_1200,A1201_1800,A1801_2359,A_Total,Accident
2019-06-02,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-06-03,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,0,2,4,TRUE
2019-06-04,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,2,1,TRUE
2019-06-05,Clear,Clear,Cold,Cold,NA,NA,Severe,Severe,2,0,0,4,4,TRUE
2019-06-06,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,0,3,6,TRUE
2019-06-07,Fog,Fog,Clear,Clear,Moderate,Moderate,NA,NA,0,0,0,2,2,TRUE
2019-06-08,Clear,Clear,Cold,Cold,NA,NA,Severe,Severe,4,0,0,0,1,TRUE
2019-06-09,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,0,4,0,2,TRUE
2019-06-10,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,0,2,2,TRUE
2019-06-11,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,2,4,5,TRUE
2019-06-12,Clear,Clear,Clear,Clear,NA,NA,NA,NA,4,2,3,0,4,TRUE
2019-06-13,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,2,2,TRUE
2019-06-14,Clear,Clear,Clear,Clear,NA,NA,NA,NA,4,0,3,2,5,TRUE
2019-06-15,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-06-16,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,0,0,0,1,TRUE
2019-06-17,Cold,Clear,Clear,Clear,Severe,NA,NA,NA,0,0,0,0,0,FALSE
2019-06-18,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,3,3,TRUE
2019-06-19,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,2,5,TRUE
2019-06-20,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,3,3,TRUE
2019-06-21,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,3,2,TRUE
2019-06-22,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,0,0,1,TRUE
2019-06-23,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-06-24,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,2,3,TRUE
2019-06-25,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,2,5,TRUE
2019-06-26,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,4,3,4,TRUE
2019-06-27,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,2,4,TRUE
2019-06-28,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,0,0,2,3,TRUE
2019-06-29,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,0,4,5,TRUE
2019-06-30,Rain,Clear,Clear,Clear,Light,NA,NA,NA,0,0,0,2,1,TRUE
2019-07-01,Clear,Clear,Clear,Clear,NA,NA,NA,NA,4,0,0,3,3,TRUE
2019-07-02,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,0,0,1,TRUE
2019-07-03,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,4,1,TRUE
2019-07-04,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-07-05,Clear,Clear,Clear,Clear,NA,NA,NA,NA,4,2,0,2,3,TRUE
2019-07-06,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,4,0,1,TRUE
2019-07-07,Clear,Clear,Clear,Clear,NA,NA,NA,NA,4,0,0,3,3,TRUE
2019-07-08,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,3,0,0,2,TRUE
2019-07-09,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,2,2,TRUE
2019-07-10,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,2,2,TRUE
2019-07-11,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,0,2,5,TRUE
2019-07-12,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,0,0,3,6,TRUE
2019-07-13,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,4,0,1,TRUE
2019-07-14,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-07-15,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-07-16,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,2,7,TRUE
2019-07-17,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,4,2,TRUE
2019-07-18,Clear,Clear,Clear,Clear,NA,NA,NA,NA,4,0,0,0,2,TRUE
2019-07-19,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,0,0,3,2,TRUE
2019-07-20,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-07-21,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,0,0,0,2,TRUE
2019-07-22,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,2,2,TRUE
2019-07-23,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,3,1,TRUE
2019-07-24,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,2,2,TRUE
2019-07-25,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,3,2,4,TRUE
2019-07-26,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,0,2,2,5,TRUE
2019-07-27,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,3,0,2,TRUE
2019-07-28,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-07-29,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,0,2,TRUE
2019-07-30,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,0,1,TRUE
2019-07-31,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,3,0,3,4,TRUE
2019-08-01,Clear,Cold,Cold,Clear,NA,Severe,Severe,NA,0,0,0,2,1,TRUE
2019-08-02,Clear,Cold,Cold,Clear,NA,Severe,Severe,NA,0,0,0,2,1,TRUE
2019-08-03,Clear,Cold,Cold,Clear,NA,Severe,Severe,NA,2,0,3,4,3,TRUE
2019-08-04,Rain,Rain,Clear,Clear,Light,Light,NA,NA,4,2,0,0,2,TRUE
2019-08-05,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,3,1,TRUE
2019-08-06,Clear,Cold,Cold,Clear,NA,Severe,Severe,NA,0,0,0,2,2,TRUE
2019-08-07,Clear,Cold,Cold,Clear,NA,Severe,Severe,NA,0,2,2,0,5,TRUE
2019-08-08,Clear,Cold,Cold,Clear,NA,Severe,Severe,NA,2,0,3,2,3,TRUE
2019-08-09,Clear,Cold,Cold,Clear,NA,Severe,Severe,NA,0,0,2,3,4,TRUE
2019-08-10,Clear,Cold,Cold,Clear,NA,Severe,Severe,NA,0,0,0,2,1,TRUE
2019-08-11,Cold,Cold,Clear,Clear,Severe,Severe,NA,NA,0,0,0,0,0,FALSE
2019-08-12,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,2,1,TRUE
2019-08-13,Cold,Clear,Cold,Clear,Severe,NA,Severe,NA,0,4,3,2,7,TRUE
2019-08-14,Clear,Cold,Cold,Clear,NA,Severe,Severe,NA,4,0,0,2,6,TRUE
2019-08-15,Clear,Cold,Cold,Clear,NA,Severe,Severe,NA,0,0,0,3,3,TRUE
2019-08-16,Clear,Cold,Cold,Clear,NA,Severe,Severe,NA,3,0,0,3,2,TRUE
2019-08-17,Cold,Clear,Cold,Clear,Severe,NA,Severe,NA,4,0,0,0,3,TRUE
2019-08-18,Clear,Clear,Cold,Clear,NA,NA,Severe,NA,0,0,0,0,0,FALSE
2019-08-19,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,0,4,TRUE
2019-08-20,Clear,Cold,Cold,Clear,NA,Severe,Severe,NA,4,2,2,2,5,TRUE
2019-08-21,Clear,Cold,Cold,Fog,NA,Severe,Severe,Moderate,0,0,0,3,1,TRUE
