Date,W0000_0600,W0601_1200,W1201_1800,W1801_2359,WS1,WS2,WS3,WS4,A0000_0600,A0601_1200,A1201_1800,A1801_2359,A_Total,Accident
2016-03-17,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-03-18,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-03-19,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-03-20,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-03-21,Snow,Snow,Clear,Clear,Moderate,Light,NA,NA,0,0,0,0,0,FALSE
2016-03-22,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-03-23,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-03-24,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,2,5,TRUE
2016-03-25,Fog,Fog,Rain,Rain,Moderate,Moderate,Light,Light,0,0,0,0,0,FALSE
2016-03-26,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,3,0,0,2,TRUE
2016-03-27,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-03-28,Clear,Rain,Rain,Clear,NA,Light,Light,NA,0,2,2,3,4,TRUE
2016-03-29,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,3,5,TRUE
2016-03-30,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,2,4,TRUE
2016-03-31,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,3,1,TRUE
2016-04-01,Rain,Clear,Clear,Rain,Light,NA,NA,Light,0,0,0,2,1,TRUE
2016-04-02,Clear,Rain,Rain,Clear,NA,Light,Light,NA,3,0,0,0,1,TRUE
2016-04-03,Rain,Rain,Clear,Clear,Light,Light,NA,NA,0,0,3,0,1,TRUE
2016-04-04,Clear,Snow,Rain,Rain,NA,Light,Light,Light,0,0,2,0,1,TRUE
2016-04-05,Clear,Cold,Clear,Clear,NA,Severe,NA,NA,0,3,0,0,1,TRUE
2016-04-06,Clear,Clear,Clear,Clear,NA,NA,NA,NA,4,2,3,3,5,TRUE
2016-04-07,Clear,Clear,Rain,Rain,NA,NA,Light,Light,0,0,2,0,2,TRUE
2016-04-08,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-04-09,Clear,Clear,Rain,Rain,NA,NA,Light,Light,0,0,0,0,0,FALSE
2016-04-10,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-04-11,Rain,Clear,Cold,Rain,Light,NA,Severe,Light,0,0,2,2,4,TRUE
2016-04-12,Clear,Rain,Rain,Clear,NA,Light,Light,NA,0,0,0,2,3,TRUE
2016-04-13,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,0,2,2,5,TRUE
2016-04-14,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,0,0,1,TRUE
2016-04-15,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-04-16,Clear,Clear,Clear,Storm,NA,NA,NA,Severe,0,0,0,0,0,FALSE
2016-04-17,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,3,0,1,TRUE
2016-04-18,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,2,3,TRUE
2016-04-19,Clear,Clear,Cold,Clear,NA,NA,Severe,NA,3,2,0,0,2,TRUE
2016-04-20,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,3,2,4,TRUE
2016-04-21,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,2,4,TRUE
2016-04-22,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,3,3,TRUE
2016-04-23,Rain,Rain,Rain,Clear,Light,Light,Light,NA,0,0,0,0,0,FALSE
2016-04-24,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-04-25,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,0,0,1,TRUE
2016-04-26,Clear,Rain,Fog,Rain,NA,Light,Moderate,Light,0,0,0,2,1,TRUE
2016-04-27,Fog,Clear,Clear,Clear,Moderate,NA,NA,NA,0,2,0,3,2,TRUE
2016-04-28,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,2,2,TRUE
2016-04-29,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,2,3,TRUE
2016-04-30,Rain,Clear,Clear,Clear,Light,NA,NA,NA,2,0,0,0,1,TRUE
2016-05-01,Clear,Clear,Rain,Rain,NA,NA,Light,Light,0,0,0,0,0,FALSE
2016-05-02,Fog,Clear,Fog,Fog,Moderate,NA,Moderate,Moderate,0,0,2,2,2,TRUE
2016-05-03,Rain,Rain,Rain,Clear,Light,Moderate,Light,NA,0,0,0,3,2,TRUE
2016-05-04,Clear,Rain,Rain,Rain,NA,Light,Light,Light,3,0,0,0,1,TRUE
2016-05-05,Clear,Clear,Fog,Clear,NA,NA,Moderate,NA,0,0,2,2,5,TRUE
2016-05-06,Clear,Rain,Rain,Clear,NA,Light,Light,NA,0,0,0,0,0,FALSE
2016-05-07,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-05-08,Clear,Clear,Rain,Clear,NA,NA,Light,NA,0,0,0,0,0,FALSE
2016-05-09,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,2,2,3,9,TRUE
2016-05-10,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,3,0,4,TRUE
2016-05-11,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,3,2,9,TRUE
2016-05-12,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,3,3,6,TRUE
2016-05-13,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-05-14,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-05-15,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-05-16,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,2,1,TRUE
2016-05-17,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,2,2,TRUE
2016-05-18,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,2,3,6,TRUE
2016-05-19,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,2,3,TRUE
2016-05-20,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,2,2,3,4,TRUE
2016-05-21,Rain,Clear,Clear,Rain,Light,NA,NA,Light,3,0,0,0,3,TRUE
2016-05-22,Rain,Rain,Clear,Clear,Light,Light,NA,NA,3,0,3,0,2,TRUE
2016-05-23,Clear,Clear,Clear,Rain,NA,NA,NA,Light,0,0,0,4,1,TRUE
2016-05-24,Rain,Rain,Rain,Clear,Light,Light,Light,NA,0,2,2,3,4,TRUE
2016-05-25,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,3,2,TRUE
2016-05-26,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,3,0,2,6,TRUE
2016-05-27,Clear,Clear,Fog,Fog,NA,NA,Moderate,Moderate,0,0,2,3,3,TRUE
2016-05-28,Clear,Clear,Clear,Fog,NA,NA,NA,Moderate,0,0,0,0,0,FALSE
2016-05-29,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-05-30,Clear,Precipitation,Rain,Clear,NA,UNK,Moderate,NA,0,0,0,0,0,FALSE
2016-05-31,Clear,Fog,Fog,Clear,NA,Moderate,Moderate,NA,0,0,2,4,4,TRUE
2016-06-01,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,3,6,TRUE
2016-06-02,Clear,Clear,Clear,Fog,NA,NA,NA,Moderate,2,3,2,2,8,TRUE
2016-06-03,Fog,Fog,Rain,Fog,Moderate,Moderate,Light,Moderate,0,0,0,2,1,TRUE
2016-06-04,Clear,Fog,Fog,Fog,NA,Moderate,Moderate,Moderate,2,3,0,0,2,TRUE
2016-06-05,Precipitation,Clear,Precipitation,Precipitation,UNK,NA,UNK,UNK,0,0,0,3,1,TRUE
2016-06-06,Rain,Clear,Fog,Clear,Moderate,NA,Moderate,NA,0,0,2,4,3,TRUE
2016-06-07,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,3,3,4,TRUE
2016-06-08,Clear,Clear,Rain,Rain,NA,NA,Moderate,Heavy,0,0,0,2,2,TRUE
2016-06-09,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,0,2,3,TRUE
2016-06-10,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-06-11,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,4,0,4,3,TRUE
2016-06-12,Clear,Fog,Clear,Fog,NA,Moderate,NA,Severe,4,0,3,3,5,TRUE
2016-06-13,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,0,2,2,4,TRUE
2016-06-14,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,3,0,3,5,TRUE
2016-06-15,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-06-16,Clear,Rain,Rain,Rain,NA,Light,Light,Light,0,0,2,3,3,TRUE
2016-06-17,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,0,2,0,2,TRUE
2016-06-18,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,4,0,0,1,TRUE
2016-06-19,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-06-20,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,0,0,2,TRUE
2016-06-21,Clear,Rain,Rain,Clear,NA,Light,Light,NA,0,0,0,0,0,FALSE
2016-06-22,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,2,2,6,TRUE
2016-06-23,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,0,2,2,TRUE
2016-06-24,Clear,Fog,Clear,Clear,NA,Moderate,NA,NA,0,0,4,0,2,TRUE
2016-06-25,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-06-26,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,3,3,0,4,TRUE
2016-06-27,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,0,1,TRUE
2016-06-28,Precipitation,Precipitation,Clear,Clear,UNK,UNK,NA,NA,0,2,2,2,3,TRUE
2016-06-29,Rain,Rain,Clear,Clear,Light,Light,NA,NA,0,2,0,0,1,TRUE
2016-06-30,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,3,0,2,6,TRUE
2016-07-01,Precipitation,Clear,Clear,Rain,UNK,NA,NA,Light,0,0,4,0,1,TRUE
2016-07-02,Rain,Clear,Clear,Clear,Light,NA,NA,NA,0,0,0,0,0,FALSE
2016-07-03,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
